id,label,aliases,tier,kind,plain_definition,formal_definition,why_it_matters,difficulty,paper_ref,confidence
ser,"Seat Equivalent Representation (SER)","SER;seats deserved","metric","metric","How many seats a constituency's population deserves: its population divided by the national average per TD. A population of 118,372 has an SER of exactly 4.","SER = proposed population / National Ratio (Eq. 2); its unit is seats, and population = SER x National Ratio recovers the population (Eq. 5).","SER recentres the debate on representation rather than raw population, and its non-integer values are precisely where misrepresentation comes from.",2,"S2.2, Eqs 2-5","high"
variance,"Variance from the national average (v)","v;variance;representation variance","metric","metric","The percentage by which a constituency departs from the national norm once whole seats are assigned: positive means more people per TD than the national average (under-represented), negative means fewer (over-represented).","v = (SER - assigned seats) / assigned seats (Eq. 6); a value of +0.05 is 5 percent above the national average representation.","Variance is the official fairness gauge used in every review report since 1980 and the quantity the ±5 percent convention and H_P are built around.",3,"S2.2, Eq. 6","high"
variance_5pct,"The ±5 percent variance convention","5 percent rule;variance threshold;outside the range","metric","principle","The long-standing working rule that each constituency's variance should stay within plus or minus 5 percent. The 2023 review broke it for 15 of 43 constituencies - the most since 1995.","A conventional tolerance band of |v| <= 0.05 around the national average, tracked across all reports 1980-2023 (Table 1); it is a convention, not a constitutional or statutory limit.","It is the concrete standard against which reviews are judged, and its 2023 erosion is the paper's motivating evidence that the current process is straining.",2,"S3.3.1, Table 1, Figs 11-12","high"
alt_variance,"Alternative (voter-centred) variance","v_new;TPSA variance definition","metric","metric","A redefinition of variance that divides by seats deserved instead of seats assigned, so that being 5 percent over and 5 percent under correspond to the same amount of misrepresentation per person.","v_new = (s - a) / s where s is SER and a is assigned seats; under v_new the maximally over- and under-represented populations at threshold v experience equal misrepresentation |a/p_ext - a/p| = av/p (App C).","It shows that even the definition of fairness is a design choice with provable consequences - a small formula change makes the bounds mean the same thing for every voter.",4,"App C","high"
contiguity,"Contiguity","connectedness;one-piece requirement","metric","definition","The requirement that a constituency be a single connected piece of land, with no detached islands of territory.","A constituency is contiguous when its EDs form one connected group in the adjacency graph; formally G_q = 1 connected component. Contiguity is a hard requirement in the Irish context.","A voter should not live in a detached fragment of a constituency centred elsewhere; algorithmically it is one of the constraints that may never be broken in a final map.",2,"S2.3","high"
compactness,"Compactness","Dluthacht;shape regularity","metric","metric","A measure of whether a constituency has a reasonable, roughly rounded shape rather than a sprawling, snake-like one.","Any of several measures penalising irregular shape: convex-hull comparison, minimising external boundary ED neighbours, or maximising internal boundary ED neighbours (S2.4); in the Potts model, border length with other constituencies.","Serpentine shapes are the classic fingerprint of gerrymandering; optimising compactness steers the search away from unnatural constituencies.",2,"S2.4","high"
convex_hull,"Convex hull measure","enclosing polygon measure","metric","method","One way to measure compactness: wrap the constituency in the tightest convex polygon and compare; intuitive but expensive to recompute after every change.","The convex hull is the smallest convex polygon enclosing the constituency; compactness compares the constituency's area or shape to its hull. The paper notes cheaper edge-counting alternatives induce similar behaviour.","Shows that even an intuitive criterion has multiple formalisations with different computational costs - a recurring theme of the codification problem.",3,"S2.4, Fig 4","high"
county_breach_metric,"County-boundary breach measure","county breaks;boundary breach count","metric","metric","A count of how badly a map cuts across county lines, computed from the graph edges that cross a county boundary inside a single constituency.","The basic measure counts edges crossing a county boundary whose two EDs are in the same constituency, minimised during search. Convention from past reports: joining two entire counties in one constituency is not a breach (App C.1).","County allegiance is one of the strongest public sentiments in submissions to reviews, and how you count a breach materially changes which maps look good.",3,"S2.5, App C.1","high"
community_boundaries,"Community-of-interest boundaries","community edges;community splits","metric","metric","Some communities that straddle no official line still strongly object to being split; the map can mark those connections and penalise cutting them.","Designated graph edges that count towards a penalty when the EDs they connect are assigned to different constituencies, implemented in the same way as county boundary edges.","Shows the machinery is general: any community the public or commission identifies can be protected by labelling edges, without new mathematics.",2,"S2.5","high"
temporal_continuity,"Continuity with existing boundaries","temporal boundaries;discontinuity penalty","metric","metric","A measure of how much a proposed map disrupts the current one - how many people and EDs wake up in a different constituency.","Illustrative form f_C = exp(-a_c n_people - b_c n_ED), maximal at 1 when nothing changes (Eq. 8), where n_people and n_ED count people and EDs no longer in their original constituency; the paper notes this form is blind to where changes concentrate.","Continuity is a statutory consideration, and voters feel churn directly; but continuity also fights the population-driven changes fairness demands.",3,"S2.6, Eq. 8","high"
population_weighted_break,"Population-weighted rule-breaking","bump function;weighting breaches by people affected","metric","metric","The idea that a rule breach should be judged by how many people it affects - and, per the Commission, that transferring too few people across a county line leaves them feeling voiceless, so transfers should carry weight.","An optimisation function on the SER lying over a county boundary (Fig 5), near zero for tiny transfers, with a tunable bump (height, position, width) around a preferred transfer size; bump positions at symmetric values like 1/2 or 1/3 create optimisation symmetries that hinder convergence.","It converts a subtle sentiment from real Commission reports into three debatable parameters, showing both the power and the difficulty of codifying legal nuance.",4,"S2.7, Fig 5","high"
objective_function,"Objective (score) function","error function;optimisation function;adherence score","metric","principle","A single number that scores how well a whole map obeys a rule, built so the best possible score happens exactly at the maps you want.","A function on configurations whose extremal values occur at rule-satisfying configurations; e.g. f_PR (Eq. 7) is extremal when SER is an allowed integer 3, 4 or 5. A function that characterises error is a requisite of optimisation.","This is the conceptual hinge of the course: once rules become scores, redistricting becomes a search problem that mathematics can attack.",3,"S2, S2.2, Eq. 7","high"
hamiltonian,"Hamiltonian (energy function)","energy function;H","physics_model","definition","Physics' name for a score function: it assigns an energy to every possible state of a system, and systems settle towards low energy.","A function H mapping each configuration of a system to a real number (its energy); the model's dynamics and equilibrium behaviour are determined by H.","The bridge into physics: a rule-breaking score and an energy are the same mathematical object, which unlocks a toolbox built over decades of statistical mechanics.",3,"S4.1.1","high"
potts_model,"Potts model","standard Potts model;Q-state spin model","physics_model","object","A classic physics model: a grid of sites, each taking one of Q values (think colours), where the energy simply counts neighbouring sites whose colours differ.","H_Potts = -J_Potts sum over neighbour pairs of delta(s_i, s_j) (Eqs 9-10), for spins s_i taking one of Q abstract values; introduced by Renfrey Potts in 1951.","It is the exact template the electoral model instantiates: the values need not be numbers, so 'constituency 1..Q' is as valid a spin set as 'red, green, blue'.",4,"S4.1.1, Eqs 9-10","high"
ferromagnetic_config,"Ferromagnetic configuration","all-aligned state","physics_model","object","The state where every site has the same value - in the electoral analogy, the whole country as one giant constituency.","The configuration with s_i = s_j for all i, j, which minimises H_Potts; an antiferromagnetic configuration maximises it.","Knowing what a term is minimised by tells you what it pushes towards: the compactness term alone would merge Ireland into one constituency, so other terms must push back.",3,"S4.1.1","high"
electoral_potts,"Electoral Potts model","Potts reframing of redistricting","physics_model","object","The redistricting problem rewritten in Potts language: the 3,440 EDs are the sites, the constituency labels are the Q values, and neighbouring EDs are neighbouring sites.","The 3,440 EDs assigned to Q constituencies are treated as lattice sites assigned to Q spin values; constituency boundaries are groupings of values and ED borders are nearest-neighbour pairs; legal requirements are encoded as separate Hamiltonian terms (after Chou and Li 2006).","This is the paper's central move: once the map is a spin system, decades of statistical-physics optimisation machinery applies to Irish boundaries.",3,"S4.1.1","high"
h_p,"H_P (representation term)","population Hamiltonian;proportional representation term","physics_model","metric","The energy term for fair representation: for each constituency, how far its population is from the nearest allowed multiple (3, 4 or 5 times) of the average constituency population.","H_P = sum over q of min over m in {m_s} of |P_q / m - <P>| (Eq. 11), where P_q is the population of constituency q, <P> is the average population per constituency, and {m_s} = {3,4,5}; minimised when P_q = m<P> for allowed m (Fig 13).","It is the algorithmic embodiment of Article 16.2.3: configurations where any constituency's population sits between valid seat counts are pushed uphill in energy.",4,"S4.1.1, Eq. 11, Fig 13","high"
h_c,"H_C (contiguity term)","contiguity Hamiltonian","physics_model","metric","The energy term that punishes constituencies that are in more than one piece (or assigned no territory at all).","H_C = sum over q of |G_q - 1| (Eq. 11), where G_q is the number of contiguous groups in constituency q; the modulus makes an empty constituency (G_q = 0) also contribute.","Contiguity is unbreakable in law, so its energy term is weighted to punish severely; it is what lets the search entertain briefly-broken maps without them surviving.",3,"S4.1.1, Eq. 11","high"
h_d,"H_D (compactness term)","compactness Hamiltonian;border-length term","physics_model","metric","The energy term that counts pairs of neighbouring EDs sitting in different constituencies - in effect the total internal border length of the map.","H_D = sum over neighbour pairs of (1 - delta(q_i, q_j)) (Eq. 11); equal to H_Potts/J_Potts plus a constant, so minimised by the ferromagnetic (single-constituency) configuration.","Short borders mean chunky, non-serpentine constituencies; but taken alone this term wants one giant constituency, a vivid lesson in why objectives must be balanced.",3,"S4.1.1, Eq. 11","high"
h_b,"H_B (county-boundary term)","county Hamiltonian;H(1);H(2);H(3)","physics_model","metric","The energy term for county breaches. The paper offers three candidate formulas because the law does not pin down what exactly counts as a breach.","Candidates: H(1) = sum(C_q - 1); H(2) counts split counties in multi-county constituencies via Kronecker deltas; H(3) penalises minority county proportions via (1-(2 pi_cq -1)^2), where C_q is the number of counties in constituency q and pi_cq the proportion of county c in q. The paper does not name these H_B or choose among them.","A live example of legal ambiguity becoming a modelling decision: which formula you pick is an interpretation of the law, and it changes the resulting maps.",4,"S4.1.1 (H(1)-H(3)), S2.5","medium"
coupling_constants,"Coupling constants (J_alpha)","weights;J_alpha;relative importance weights","physics_model","definition","The dial attached to each rule's energy term, setting how much that rule matters relative to the others. The law provides no values for these dials.","The weights J_alpha in H = sum of J_alpha H_alpha (Eq. 12). There is no a priori way to compute them from a desired hierarchy, effects are not linear in the weights, and only ratios matter: scaling all J_alpha and T by the same factor changes nothing, so one may set J_P = 1 (S5.1.1).","The coupling constants are where value judgements hide inside the mathematics; making them explicit is what makes the algorithm auditable and debatable.",3,"Eq. 12, S2.8, S4.2.2, S5.1.1","high"
total_hamiltonian,"Total Hamiltonian H = sum of J_alpha H_alpha","objective Hamiltonian;combined energy","physics_model","metric","The single overall energy of a map: each rule's term multiplied by its weight, all added up. Redistricting becomes: find the map with the lowest total energy.","H = sum over alpha of J_alpha H_alpha (Eq. 12), alpha ranging over requirements P, C, D, and so on; the redistricting problem reduces to choosing {J_alpha} and finding configurations minimising H.","This one line is the entire reframing: a centuries-old civic problem compressed into a function that a computer can minimise and a citizen can inspect term by term.",3,"Eq. 12","high"
temperature,"Temperature (T)","control parameter T;search temperature","physics_model","definition","A knob controlling how willing the search is to accept changes that make the map worse: high temperature means adventurous exploration, low temperature means strict improvement only.","The parameter T in the Boltzmann weight exp(-H/T) (Eq. 13, with k_B = 1); high T approaches uniform random sampling of configurations, low T restricts sampling to near a local extremum (S4.2.1).","Temperature is what separates a naive greedy search that gets stuck from a search that can escape bad neighbourhoods of the solution space.",3,"Eq. 13, S4.2.1","high"
boltzmann,"Boltzmann distribution","Boltzmann weight;equilibrium distribution","physics_model","definition","A probability rule that prefers low-energy maps: each map's chance is weighted by exp(-energy/temperature), so as the temperature drops, only the best maps keep meaningful probability.","lambda(sigma) proportional to exp(-H(sigma)/T) (Eq. 13); as T tends to 0 it approaches a uniform distribution over minimum-energy states (compare the exponential distribution, Eq. 14, Fig 14).","It converts 'find the minimum' into 'sample from this distribution at low temperature', which is exactly what MCMC methods know how to do.",4,"Eq. 13, Fig 14","high"
optimisation,"Optimisation","minimisation;search for extrema","algorithm","method","Improving something step by step: repeatedly nudge the map, keep score, and steer towards the best score reachable.","Iteratively altering a mathematical circumstance so that a function acting on it takes on an extremal value (S2.2); here, navigating configurations to extremise an objective function.","Once the rules are scores, boundary-drawing is optimisation; every method in the paper (Potts/MCMC, GA, annealing) is a strategy for doing this well at scale.",2,"S2.2","high"
multi_objective,"Multi-objective optimisation","multiple objectives;combined objectives","algorithm","method","Optimising several scores at once - fairness, counties, continuity, shape - which pull in different directions and must be traded against each other.","Combining per-rule objective functions into one overall function via weights (S2.8); faithfully translating a legal hierarchy into weights is itself an unsolved technical problem, as effects are not linear in the weights.","Real redistricting is never one objective; the multi-objective structure is where all the genuine political trade-offs surface inside the mathematics.",3,"S2.8","high"
local_minima,"Local minima","local optima;getting stuck","algorithm","principle","A map that cannot be improved by any single small change, yet is far from the best map overall - where naive step-by-step improvement gets stranded.","A configuration whose objective value is extremal within its move-neighbourhood but not globally; the paper motivates entertaining temporarily-worse configurations to avoid local minima (S2.3).","Explains why the search must sometimes accept worse maps on the way to better ones - the intuition behind temperature and annealing.",3,"S2.3, S4.2.1","high"
move_proposal,"Boundary-flip moves","geographically informed search;single-ED updates","algorithm","method","The basic step of the search: pick an ED on a constituency border and try moving it into the neighbouring constituency, so constituencies morph and grow rather than scatter.","Restrict EDs eligible to change membership to those at constituency boundaries, flipping to a nearby constituency rather than a random one (S2.3); equivalently, reassigning one node at a time along district borders (S3.4).","The move set determines what the search can reach and how fast; geographically informed moves are significantly faster than random reassignment.",3,"S2.1, S2.3, S3.4","high"
monte_carlo,"Monte Carlo methods","random sampling methods","algorithm","method","Estimating a quantity by averaging over many random samples instead of computing it exactly - like estimating an average by polling rather than a full census.","Numerical algorithms involving random sampling used to calculate expected values; by the strong law of large numbers the sample mean of i.i.d. draws converges to the true mean (Eqs 24-25).","Random sampling is the only viable way to learn anything about a space of more than 10^5000 maps.",3,"App D","high"
markov_chain,"Markov chain","memoryless random walk","algorithm","definition","A random sequence of states where the next step depends only on where you are now, not on how you got there.","A sequence of random variables where P(A_{N+1} | A_N, ..., A_0) = P(A_{N+1} | A_N), time-homogeneous (Eq. 26).","The chain structure is what lets a simple local move rule, iterated, produce samples with a known, controllable distribution.",3,"App D, Eq. 26","high"
mcmc,"Markov chain Monte Carlo (MCMC)","MCMC;Markov chain sampling","algorithm","method","A random walk through the space of maps, designed so that the maps it visits are samples from a chosen target distribution.","Methods forming a Markov chain on the state space whose stationary distribution is the desired distribution, so collected states constitute samples from it; the natural districting walk reassigns one unit at a time along borders (S3.4, App D).","MCMC is the paper's chosen engine for both optimising maps and generating ensembles, with mixing theorems and convergence diagnostics as its theoretical backing.",4,"S3.4, S4.1.1, App D","high"
detailed_balance,"Detailed balance","reversibility condition","algorithm","principle","A pairwise fairness condition on the walk: the flow of probability from map A to map B equals the flow from B to A. A walk with this property provably settles into the target distribution.","t(sigma', sigma) lambda(sigma) = t(sigma, sigma') lambda(sigma') for all pairs (Eq. 29); it implies lambda is the equilibrium distribution of the transition kernel t.","It is the guarantee that the sampling is principled rather than hopeful - the mathematical warrant behind trusting MCMC output.",5,"App D, Eq. 29","high"
metropolis_hastings,"Metropolis-Hastings algorithm","MH algorithm;accept-reject sampling","algorithm","method","A recipe for building a valid walk: propose a change, then accept it with a cleverly chosen probability; the accept rule is engineered so detailed balance holds automatically.","Given proposal density p(sigma', sigma), accept with probability a = min(p(sigma,sigma') lambda(sigma') / (p(sigma',sigma) lambda(sigma)), 1) (Eq. 30); then t = a p satisfies detailed balance for lambda (Eqs 31-32).","It is the master template: both algorithms actually run in the paper (Metropolis and Gibbs) are special cases of this one construction.",4,"App D.1, Eqs 30-32","high"
metropolis,"Metropolis algorithm","Metropolis update","algorithm","method","The workhorse special case: propose moving one ED to a random other constituency; if the map's energy drops, accept; if it rises, accept anyway with probability exp(-rise/temperature).","Metropolis-Hastings with a symmetric proposal, so a = min(exp(-Delta H / T), 1) (Eq. 34); only the energy change Delta H of the single-site update is needed; uniform proposal over the other Q-1 constituencies (Eq. 35). Steps boxed in S4.1.1.","This is the actual update loop of the electoral Potts search: cheap to compute, provably samples the Boltzmann distribution, and easy to explain step by step.",4,"S4.1.1, App D.1.1","high"
gibbs,"Gibbs sampler","Gibbs sampling;heat-bath update","algorithm","method","The always-accept variant: for one ED, compute the energy change for every possible constituency it could join, then pick among them with probabilities weighted by those changes.","Metropolis-Hastings with proposal p proportional to the target itself, giving acceptance probability exactly 1 (Eqs 36-38); the proposal over q = 1..Q is exp(-Delta H(q)/T) normalised. Steps boxed in S4.1.1.","The paper's second sampler: costlier per step (Q energy evaluations) but never wastes a proposal - a concrete engineering trade-off against Metropolis.",4,"S4.1.1, App D.1.2","high"
simulated_annealing,"Simulated annealing","annealing;cooling schedule","algorithm","method","Start the search hot and adventurous, then cool it slowly so it gradually commits to the best region it has found - like metal being annealed to remove defects.","Sampling from the temperature-dependent equilibrium distribution while T is slowly reduced from high to low, so the walk tracks equilibrium down to the global-extremum-dominated regime (S4.2.1, Fig 15); after Kirkpatrick et al. 1983.","It is the technique that turns a sampler into an optimiser, and both of the paper's methods (Potts/MCMC and SAGA) rely on it.",3,"S4.2.1, Fig 15","high"
ensembles,"Ensembles of comparison plans","ensemble analysis;comparison ensembles","algorithm","method","Instead of judging a proposed map in isolation, generate thousands of alternative valid maps under the same rules and see where the proposal sits among them.","Large, diverse collections of valid plans sampled from the space of alternatives that cut the same jurisdiction by the same rules; inferences drawn from ensembles rely heavily on the distributions from which they are sampled (S3.4).","Ensembles are how algorithmic output becomes evidence: they give the commission and the public a baseline of what maps are possible, not just one answer.",3,"S3.4","medium"
genetic_algorithm,"Genetic algorithm","GA;evolutionary algorithm","algorithm","method","A search inspired by evolution: keep a population of candidate maps, rank them by fitness, let the best ones breed and mutate, and repeat generation after generation.","A three-step loop - rank a population by fitness, preferentially select top individuals to breed, and form the next generation - where each individual is a configuration assigning every ED one of Q values (S4.1.2).","It is the paper's second, independent search strategy, showing the framework is not tied to one algorithm: any method that optimises the codified rules can plug in.",3,"S4.1.2","high"
